,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
246.,"TEPLARNA KYJOV, A.S.",HAVLICKOVA 180/18,KYJOV,Czech Republic,3530,n.a.,3,2,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,23,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
247.,"ZEVETA BOJKOVICE, A.S.",TOVARNI 532,BOJKOVICE,Czech Republic,6820,n.a.,3,3,3,3,3,3,3,4,5,n.a.,38,38,n.a.,38,38,38,75,75,75
248.,"KG ENERGO, S.R.O.",BELEHRADSKA 55/15,PRAHA NUSLE (PRAHA 4),Czech Republic,3530,n.a.,n.a.,n.a.,2,3,3,3,1,n.a.,n.a.,n.a.,n.a.,n.a.,38,38,38,38,n.a.,n.a.,n.a.
249.,"ZVVZ ENERGO, S.R.O.",SAZINOVA 888/11,MILEVSKO,Czech Republic,3530,n.a.,3,3,2,3,4,n.a.,4,4,n.a.,n.a.,38,38,n.a.,38,38,n.a.,38,3,n.a.
250.,"OMGD, S.R.O.",KRIZOVA 1018/6,PRAHA SMICHOV,Czech Republic,3511,n.a.,n.a.,n.a.,2,3,4,8,3,2,4,n.a.,n.a.,n.a.,15,15,7,23,150,150,150
251.,"ENERGZET, A.S.",JEDOVNICKA 4303/2A,BRNO,Czech Republic,3513,n.a.,n.a.,n.a.,2,2,3,3,6,5,6,n.a.,n.a.,n.a.,15,15,15,15,23,23,75
252.,"TEPELNE HOSPODARSTVI RYCHNOV NAD KNEZNOU, S. R. O.",MIROVA 1411,RYCHNOV NAD KNEZNOU,Czech Republic,3530,n.a.,2,2,2,2,3,2,3,2,3,n.a.,38,38,38,38,38,38,38,38,38
253.,"SCB FOUNDRY, A.S.",OKRUZNI 621/1A,CESKE BUDEJOVICE,Czech Republic,2452,n.a.,n.a.,2,9,23,46,38,7,10,25,n.a.,n.a.,150,150,375,750,750,375,375,n.a.
254.,"BURSON PROPERTIES, A.S. V LIKVIDACI",ANTONINUV DUL C.P 107,JIHLAVA,Czech Republic,6820,n.a.,n.a.,2,2,7,4,7,n.a.,8,9,n.a.,n.a.,n.a.,n.a.,7,3,3,n.a.,750,750
255.,"TERMOFRYDLANT N. O., S.R.O.",HAMERNICKA 233,FRYDLANT NAD OSTRAVICI,Czech Republic,3530,n.a.,n.a.,2,1,2,2,2,3,3,3,n.a.,n.a.,38,38,38,38,38,23,15,38
256.,SLEZAN FRYDEK - MISTEK A. S.,NA PRIKOPE 1221,FRYDEK-MISTEK,Czech Republic,1320,n.a.,n.a.,2,2,2,2,4,6,11,0,n.a.,n.a.,7,15,15,15,15,225,"1,750","1,750"
257.,"OKAY HOLDING, A.S.",KSIROVA 676/259,BRNO,Czech Republic,7010,n.a.,n.a.,1,n.a.,1,2,1,5,5,1,n.a.,n.a.,15,n.a.,15,15,15,38,38,15
258.,"SPRAVA DOMU MESTA KAPLICE, S.R.O.",CESKOBUDEJOVICKA 79,KAPLICE,Czech Republic,3530,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,23,23,23,23,23
259.,H MOTOR CO.,"141, HAPPO-RO MASANHAPPO-GU CHANGWON-SI GYEONGNAM",CHANGWON-SI,Republic of Korea,4643,n.a.,1,1,1,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
260.,"CIHELNA POLOM, S.R.O.",,POLOM 97,Czech Republic,2332,n.a.,1,1,1,1,1,1,1,1,1,n.a.,38,38,38,38,38,38,38,38,n.a.
261.,"KRKONOSSKE PAPIRNY, A.S.",NADRAZNI 266,HOSTINNE,Czech Republic,7010,n.a.,1,1,2,2,2,2,2,2,3,n.a.,38,38,38,38,38,38,750,750,750
262.,"ZEOLIT KLADNO, S.R.O. V LIKVIDACI",PRUMYSLOVA 1343,KLADNO,Czech Republic,2320,n.a.,n.a.,n.a.,1,1,1,1,2,1,2,n.a.,n.a.,n.a.,n.a.,38,38,38,38,38,38
263.,"TRANSTEPLO KDYNE, S.R.O.",DELNICKA 425,KDYNE,Czech Republic,3530,n.a.,1,1,1,1,1,1,2,1,2,n.a.,15,23,23,23,23,23,23,38,38
264.,"EGRES CZ, A.S.",SINKULOVA 329/48,PRAHA 4,Czech Republic,2331,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
265.,"OLSANSKE PAPIRNY, A.S.",HNEVKOVSKA 1228/50,PRAHA CHODOV,Czech Republic,1712,n.a.,n.a.,1,n.a.,0,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
266.,"BFS ENERGO, A.S.",ZITAVSKEHO 496,PRAHA ZBRASLAV,Czech Republic,4222,n.a.,n.a.,1,5,5,2,16,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,7,3,7,n.a.,n.a.
267.,"ENE20, S.R.O.",OVOCNY TRH 572/11,PRAHA STARE MESTO,Czech Republic,2790,n.a.,1,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
268.,AXIS AVIATION GROUP INC,6133 FREEPORT BLVD,SACRAMENTO,United States of America,,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
269.,"ZASOBOVANI TEPLEM ADAMOV, S.R.O.",NADRAZNI 455,ADAMOV,Czech Republic,4322,n.a.,n.a.,n.a.,n.a.,n.a.,0,1,2,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,7,15,n.a.
270.,"WIENERBERGER CIHELNA HODONIN, S.R.O.",PLACHEHO 388/28,CESKE BUDEJOVICE,Czech Republic,6499,n.a.,n.a.,n.a.,0,0,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3
271.,"EASTERN SUGAR CESKA REPUBLIKA, A.S. V LIKVIDACI",MASARYKOVA 419,NEMCICE NAD HANOU,Czech Republic,1081,n.a.,n.a.,n.a.,n.a.,n.a.,0,2,1,5,28,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,375,375
272.,"CIHELNA VYSOKE MYTO, S.R.O.",TISOVSKA 269,VYSOKE MYTO,Czech Republic,2332,n.a.,n.a.,0,0,n.a.,n.a.,0,0,1,n.a.,n.a.,n.a.,15,15,n.a.,n.a.,15,23,15,n.a.
273.,"CASSALIMA GROUP, S.R.O.",8. KVETNA 464/21,OLOMOUC,Czech Republic,6820,n.a.,n.a.,n.a.,n.a.,n.a.,0,1,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
274.,"CIHELNY STAMP MISKOLEZY, S.R.O.",59,VELKY TREBESOV,Czech Republic,2332,n.a.,n.a.,n.a.,0,0,0,0,0,0,1,n.a.,n.a.,n.a.,7,3,7,7,15,15,23
275.,"NATURAL KERAMIKA, S.R.O.",U CIHELNY 375,JEVICKO,Czech Republic,2331,n.a.,0,0,n.a.,n.a.,n.a.,0,0,0,n.a.,n.a.,7,7,n.a.,n.a.,n.a.,15,15,15,n.a.
276.,"CIHELNA HODONIN, S.R.O.",BRNENSKA 59/A,HODONIN,Czech Republic,6820,n.a.,0,1,0,0,0,2,1,3,4,n.a.,3,3,3,7,7,7,75,75,150
277.,"MORAVIA GAS STORAGE, A.S.",UPRKOVA 807/6,HODONIN,Czech Republic,5210,n.a.,n.a.,0,0,0,0,0,0,0,n.a.,n.a.,n.a.,38,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
278.,"PARALAX, A.S.",KOTLASKA 64/5,PRAHA LIBEN (PRAHA 8),Czech Republic,2332,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,1,0,1,n.a.,n.a.,n.a.,n.a.,n.a.,7,7,7,7,38
279.,"ZOS CESKE VELENICE CZ, A.S.",JANA PERNERA 159,CESKE VELENICE,Czech Republic,3317,n.a.,n.a.,n.a.,n.a.,0,1,n.a.,n.a.,n.a.,11,n.a.,n.a.,n.a.,n.a.,3,3,n.a.,n.a.,n.a.,375
280.,"CIHELNA KLIMA, S.R.O.",ZAHRADY 1460,CESKY BROD,Czech Republic,2332,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,n.a.,n.a.,3
281.,AVIA-AS,"UL. STAVROPOLSKAYA D.60, KORP.1, POM.105",MOSCOW,Russian Federation,5220,n.a.,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15,8,3,3,n.a.,n.a.,n.a.,n.a.,n.a.
282.,"CIHELNA CASY, S.R.O.",FREYOVA 1/12,PRAHA VYSOCANY (PRAHA 9),Czech Republic,0811,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
283.,"KX POWER, A.S.",SUJANOVO NAMESTI 302/3,BRNO,Czech Republic,3530,n.a.,0,0,0,0,0,1,3,n.a.,n.a.,n.a.,3,3,3,3,3,3,3,n.a.,n.a.
284.,TIMBER LLC,"UL. SADOVNICHESKAYA D.72, STR.1, OFFICE 6",MOSCOW,Russian Federation,4673,n.a.,0,1,3,12,20,n.a.,n.a.,n.a.,n.a.,n.a.,28,53,72,89,135,n.a.,n.a.,n.a.,n.a.
285.,"GEOPOS, S.R.O.",69,DRINOV,Czech Republic,2332,n.a.,n.a.,0,n.a.,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
286.,"BEFACOAL, S.R.O.",SOKOLSKA 1795/46,PRAHA NOVE MESTO (PRAHA 2),Czech Republic,3530,n.a.,n.a.,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,3,3,3,n.a.,n.a.,n.a.
287.,"CRYSTALEX, A.S.",B. EGERMANNA 634,NOVY BOR,Czech Republic,2313,n.a.,n.a.,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,3,3,n.a.,n.a.,n.a.,n.a.
288.,"VITRABLOK, S.R.O.",BILINSKA 782/42,DUCHCOV,Czech Republic,2319,n.a.,n.a.,0,0,0,0,0,0,0,0,n.a.,n.a.,3,3,3,3,3,3,3,n.a.
289.,"CIHELNA HLUCIN, S.R.O.",KOLEJNI 1323/12,OSTRAVA,Czech Republic,2332,n.a.,n.a.,0,0,1,0,0,0,1,2,n.a.,n.a.,n.a.,n.a.,3,3,3,3,23,38
290.,"VALCOVNY TRUB CHOMUTOV, A.S.",TOVARNI 629,CHOMUTOV,Czech Republic,2420,n.a.,n.a.,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
291.,"TEPLARNA TYNEC, S.R.O.",K NAKLI 523,TYNEC NAD SAZAVOU,Czech Republic,3530,n.a.,0,2,1,2,2,2,2,3,2,n.a.,7,7,7,7,7,7,7,15,15
292.,"ODEVNI PODNIK, A.S.",ZA DRAHOU 4239/2,PROSTEJOV,Czech Republic,1413,n.a.,0,0,2,0,7,n.a.,n.a.,64,81,n.a.,n.a.,n.a.,3,3,150,n.a.,n.a.,"4,500","4,500"
293.,"EKO - CONTAINER SERVICE, S.R.O.",KAMPELIKOVA 767/2A,HRADEC KRALOVE,Czech Republic,2223,n.a.,0,7,6,5,5,5,4,3,4,n.a.,38,38,38,38,38,23,23,23,23
294.,"TEPELNE HOSPODARSTVI PRACHATICE, S.R.O.",NADRAZNI 52,PRACHATICE,Czech Republic,3530,n.a.,0,3,3,3,3,3,4,3,4,n.a.,23,23,23,23,23,38,38,38,38
295.,"MASOKOMBINAT POLICKA, A.S.",KAMENEC U POLICKY 300,POLICKA,Czech Republic,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
296.,MIDAMERICA HOLDINGS LTD,2104 HASTINGS AVE,NEWPORT,United States of America,6420,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
297.,INCLEDON ENTERPRISES LIMITED,"CAPITAL CENTER, FLOOR NO: 9",NICOSIA,Cyprus,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
298.,CAIMITO ENTERPRISES LIMITED,FLAT NO: 301,NICOSIA,Cyprus,6499,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
299.,RETENTURA LIMITED,FLAT NO: 301,NICOSIA,Cyprus,6420,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
300.,PLORISTA LIMITED,SANTA ROZA 18,,Cyprus,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
301.,"LOSTR, A.S.",NA PORICI 1071/17,PRAHA NOVE MESTO (PRAHA 1),Czech Republic,8210,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
