,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
9.,CHEMINOVA A/S,THYBOROENVEJ 78,HARBOOERE,Denmark,2020,n.a.,n.a.,n.a.,909,884,838,768,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,295","2,202","2,125","2,125",n.a.,n.a.,n.a.
51.,CIMBER A/S,KYSTVEJEN 2,KASTRUP,Denmark,5110,n.a.,81,68,26,27,14,n.a.,n.a.,n.a.,n.a.,n.a.,258,225,132,138,130,n.a.,n.a.,n.a.,n.a.
41.,COLAS DANMARK A/S,FABRIKSPARKEN 40,GLOSTRUP,Denmark,2399,n.a.,145,139,138,108,108,n.a.,n.a.,n.a.,n.a.,n.a.,505,511,491,405,402,n.a.,n.a.,n.a.,n.a.
24.,CP KELCO APS,VED BANEN 16,LILLE SKENSVED,Denmark,1062,n.a.,258,250,191,175,175,n.a.,n.a.,n.a.,n.a.,n.a.,385,366,364,363,377,n.a.,n.a.,n.a.,n.a.
248.,CTR I/S,POSTBOX 9,FREDERIKSBERG,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
111.,DALUM PAPIR A/S,SIVLANDVAENGET 27 B FLOOR 01,ODENSE S,Denmark,4619,n.a.,1,1,2,12,90,n.a.,n.a.,n.a.,n.a.,n.a.,6,6,9,60,248,n.a.,n.a.,n.a.,n.a.
2.,DANFOSS A/S,NORDBORGVEJ 81,NORDBORG,Denmark,2814,n.a.,"5,283","5,124","4,651","4,522","4,611",n.a.,n.a.,n.a.,n.a.,n.a.,"24,034","23,594","22,494","23,030","23,173",n.a.,n.a.,n.a.,n.a.
48.,DANISH AIR TRANSPORT A/S,LUFTHAVNSVEJ 4,VAMDRUP,Denmark,5110,n.a.,105,86,67,66,66,n.a.,n.a.,n.a.,n.a.,n.a.,267,250,211,218,213,n.a.,n.a.,n.a.,n.a.
5.,DANISH CROWN A/S,MARSVEJ 43,RANDERS SOE,Denmark,6420,"2,939",271,"2,909","3,190","3,326",n.a.,n.a.,n.a.,n.a.,n.a.,"6,090","6,289","6,482","6,527","6,692",n.a.,n.a.,n.a.,n.a.,n.a.
179.,DC GENERATION A/S,ANKER ENGELUNDS VEJ 411,KGS.LYNGBY,Denmark,3511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
67.,DIN FORSYNING VARME A/S,ULVSUNDVEJ 1,ESBJERG N,Denmark,3530,n.a.,48,53,53,60,53,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.
130.,DK PLANT APS,GARTNERIVEJ 5,OTTERUP,Denmark,0113,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,12,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
60.,DUFERCO DANISH STEEL A/S,HAVNEVEJ 47,FREDERIKSVAERK,Denmark,2410,n.a.,58,65,65,70,85,n.a.,n.a.,n.a.,n.a.,n.a.,74,78,79,98,110,n.a.,n.a.,n.a.,n.a.
14.,DUPONT NUTRITION BIOSCIENCES APS,LANGEBROGADE 1,KOEBENHAVN K,Denmark,2059,n.a.,591,597,545,591,554,n.a.,n.a.,n.a.,n.a.,n.a.,"1,100","1,191","1,205","1,243","1,247",n.a.,n.a.,n.a.,n.a.
88.,E.ON PRODUKTION DANMARK A/S,DIRCH PASSERS ALLE 76,FREDERIKSBERG,Denmark,3511,n.a.,18,21,27,33,44,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
147.,EBELTOFT FJERNVARMEVAERK,HANS WINTHERS VEJ 9,EBELTOFT,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
172.,EFFEKTMARKED.DK A/S,EUROPAVEJ 2,IKAST,Denmark,3511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
155.,EFFEKTPARTNER AS,ESTRUPVEJ 28,ESBJERG,Denmark,3513,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
103.,ENERGI FYN PRODUKTION A/S,SANDERUMVEJ 16,ODENSE SV,Denmark,3511,n.a.,6,2,0,0,2,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.
209.,ENERGI IKAST A M B A,EUROPAVEJ 2,IKAST,Denmark,3511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
81.,ENERGI VIBORG KRAFTVARME A/S,INDUSTRIVEJ 40,VIBORG,Denmark,3511,n.a.,24,27,30,34,40,n.a.,n.a.,n.a.,n.a.,n.a.,10,10,9,10,10,n.a.,n.a.,n.a.,n.a.
132.,ENERGNIST,ULDJYDEVEJ 2,HERNING,Denmark,3821,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,35,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
70.,ENIIG VARME A/S,INDUSTRIVEJ NORD 9 B,HERNING,Denmark,3530,n.a.,41,59,53,53,55,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
142.,EXECUJET EUROPE A/S,LEDREBORG ALLE 128 C FLOOR 01; TH,ROSKILDE,Denmark,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8,9,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
247.,FAELLENGGAARD VARMEFORSYNING APS,NY VESTERGADE 72 A,BROBY,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
118.,FARUM FJERNVARME A M B A,STAVNSHOLTVEJ 33,FARUM,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
74.,FAXE KALK A/S,HOVEDGADEN 13,FAXE LADEPLADS,Denmark,2352,n.a.,33,34,33,32,30,n.a.,n.a.,n.a.,n.a.,n.a.,71,69,69,n.a.,68,n.a.,n.a.,n.a.,n.a.
249.,FD HVIDOVRE AMBA,EBO CONSULT A/S,HVIDOVRE,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
52.,FF HANSTHOLM A/S,NORDRE STRANDVEJ 54,HANSTHOLM,Denmark,1020,n.a.,81,66,57,49,34,n.a.,n.a.,n.a.,n.a.,n.a.,43,26,31,30,34,n.a.,n.a.,n.a.,n.a.
22.,FF SKAGEN A/S,HAVNEVAGTVEJ 5,SKAGEN,Denmark,1020,n.a.,297,285,190,251,230,n.a.,n.a.,n.a.,n.a.,n.a.,172,148,127,117,119,n.a.,n.a.,n.a.,n.a.
104.,FFV VARME A/S,KORSVANGEN 6 A,RINGE,Denmark,3530,n.a.,5,4,5,6,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
77.,FJERNVARME FYN AFFALDSENERGI A/S,HAVNEGADE 120,ODENSE C,Denmark,3511,n.a.,27,30,26,24,27,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,0,n.a.,n.a.,n.a.,n.a.
45.,FJERNVARME FYN DISTRIBUTION A/S,HAVNEGADE 120,ODENSE C,Denmark,3530,n.a.,n.a.,n.a.,108,117,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,120,115,n.a.,n.a.,n.a.,n.a.,n.a.
46.,FJERNVARME FYN PRODUKTION A/S,HAVNEGADE 120,ODENSE C,Denmark,3511,n.a.,118,109,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,152,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
239.,FJERNVARME HORSENS A.M.B.A,ENDELAVEVEJ 7,HORSENS,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
75.,FJERNVARME HORSENS A/S,ENDELAVEVEJ 7,HORSENS,Denmark,3511,31,26,23,9,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,42,36,17,17,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
146.,FJERNVARMECENTRALEN AVEDOERE HOLME,NORDHOLMEN 1,HVIDOVRE,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
138.,"FJERNVARMEFORSYNINGEN I OE TOREBY, TOREBY, SUNDBY OG NAGELSTI AMBA",AGROVEJ 3,NYKOEBING F,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
164.,FLEXENERGI A/S,HENRIK RASMUSSEN,NOERREBALLE,Denmark,3511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
107.,"FORS VARME HOLBAEK, JYDERUP A/S",TAASTRUP MOELLEVEJ 5,HOLBAEK,Denmark,3530,n.a.,3,3,3,4,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
73.,FORS VARME ROSKILDE A/S,BETONVEJ 12,ROSKILDE,Denmark,3530,n.a.,34,32,32,32,32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
85.,FORSYNING HELSINGOER VARME A/S,HADERSLEVVEJ 25,HELSINGOER,Denmark,3530,n.a.,19,19,20,18,18,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,0,0,n.a.,n.a.,n.a.,n.a.
182.,FREDERICIA FJERNVARME AMBA,POSTBOKS 144,FREDERICIA,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
87.,FREDERIKSHAVN VARME A/S,KNIVHOLTVEJ 15,FREDERIKSHAVN,Denmark,3530,n.a.,19,18,16,19,19,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
134.,GARTNERIET KRONBORG APS,BLADSTRUPVEJ 300 A,OTTERUP,Denmark,0130,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
153.,GARTNERIET MASNEDOE A/S,TUBORGVEJ 48,FAAREVEJLE,Denmark,0113,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14,n.a.,16,20,24,n.a.,n.a.,n.a.,n.a.,n.a.
96.,GEV VARME A/S,TAARNVEJ 24,GRINDSTED,Denmark,3530,n.a.,10,11,11,11,11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
224.,GILLELEJE FJERNVARME A M B A,FISKERENGEN 2,GILLELEJE,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
98.,GLOSTRUP VARME A/S,OERNEBJERGVEJ 7,GLOSTRUP,Denmark,3530,n.a.,8,7,6,5,5,n.a.,n.a.,n.a.,n.a.,n.a.,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.
105.,GRAASTEN VARME A/S,SOENDERBORG LANDEVEJ 3,GRAASTEN,Denmark,3530,n.a.,3,4,3,3,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
204.,GRAESTED FJERNVARME AMBA,MESTERBUEN 8,GRAESTED,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
185.,GRAM FJERNVARME,SOENDERBYVEJ 24,GRAM,Denmark,3530,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
