,Company name,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
43.,SUUR-SAVON SAHKO OY,OTTO MANNISEN KATU 6,MIKKELI,Finland,3512,n.a.,161,155,171,189,183,177,159,128,110,n.a.,142,263,274,293,308,297,290,280,275
157.,TAIVALKOSKEN VOIMA OY,SAHATIE 2,TAIVALKOSKI,Finland,3530,n.a.,2,2,2,2,2,2,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26.,TAMPEREEN SAHKOLAITOS OY,VOIMAKATU 17,TAMPERE,Finland,3511,n.a.,303,301,312,326,n.a.,349,n.a.,273,57,n.a.,402,411,416,422,n.a.,459,n.a.,446,198
21.,TEOLLISUUDEN VOIMA OYJ,TEOLLISUUDEN VOIMA OY,OLKILUOTO,Finland,3511,n.a.,n.a.,345,337,375,361,361,372,314,265,n.a.,n.a.,749,809,857,868,818,803,802,783
51.,TERVAKOSKI OY,VAHIKKALANTIE 1,TERVAKOSKI,Finland,1712,n.a.,130,137,129,130,133,136,132,116,130,n.a.,n.a.,349,349,353,348,348,336,400,433
113.,TORNION ENERGIA OY,ASEMAKATU 5,TORNIO,Finland,3513,n.a.,12,12,12,12,12,11,11,10,9,n.a.,24,22,25,23,24,25,26,27,26
97.,TORNION VOIMA OY,KIRKKOPUISTIKKO O,VAASA,Finland,3511,n.a.,26,25,27,26,23,22,23,22,19,n.a.,22,20,19,13,1,n.a.,n.a.,n.a.,n.a.
29.,TUIKE FINLAND OY,ENSONTIE 1,HAMINA,Finland,7112,n.a.,273,229,163,106,81,23,0,0,n.a.,n.a.,70,67,50,36,28,16,2,n.a.,n.a.
46.,TURUN SEUDUN ENERGIANTUOTANTO OY,SATAMATIE 16,NAANTALI,Finland,3511,n.a.,142,132,129,140,132,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,2,1,n.a.,n.a.,n.a.,n.a.
15.,UPM PLYWOOD OY,NIEMENKATU 16,LAHTI,Finland,1621,n.a.,420,434,428,402,352,324,302,253,513,n.a.,"1,511","1,509","1,497","1,525","1,578","1,744","2,065","2,612","2,962"
3.,UPM-KYMMENE OYJ,P. O. BOX: 380,HELSINKI,Finland,1712,n.a.,"9,859","10,113","9,874","10,131","10,553","10,117","8,945","7,732","9,566",n.a.,"19,310","19,578","20,414","20,950","22,180","23,909","23,213","24,983","24,983"
47.,VAASAN SAHKO OY,KIRKKOPUISTIKKO O,VAASA,Finland,3514,n.a.,141,151,143,150,150,141,137,118,122,n.a.,166,174,176,187,179,176,184,178,181
99.,VALKEAKOSKEN ENERGIA OY,ROINEENKATU 24,VALKEAKOSKI,Finland,3514,n.a.,25,26,28,29,30,28,27,23,61,n.a.,36,36,36,37,39,37,38,38,38
49.,VALMET FABRICS OY,YRITTAJANKATU 21,TAMPERE,Finland,1396,n.a.,n.a.,n.a.,121,127,127,130,11,12,15,n.a.,n.a.,n.a.,767,835,893,891,120,134,178
23.,VANTAAN ENERGIA OY,PELTOLANTIE 27,VANTAA,Finland,3511,n.a.,313,288,315,389,442,437,289,240,211,n.a.,342,355,367,369,352,349,353,341,335
16.,VAPO OY,YRJONKATU 42,JYVASKYLA,Finland,0892,383,454,544,887,n.a.,636,728,732,636,641,773,914,961,"1,091",n.a.,"1,154","1,226","1,333","1,451","1,780"
145.,VARISSUON LAMPO OY,KARVATASKUNKATU 1,TURKU,Finland,3530,n.a.,4,4,4,4,4,4,4,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
117.,VARKAUDEN ALUELAMPO OY,HASINTIE 24,VARKAUS,Finland,3530,n.a.,11,10,10,10,11,9,9,8,7,n.a.,8,8,9,9,11,12,12,12,12
62.,VASKILUODON VOIMA OY,KIRKKOPUISTIKKO O,VAASA,Finland,3511,n.a.,96,95,97,110,99,106,100,103,91,n.a.,88,95,95,95,n.a.,n.a.,n.a.,n.a.,n.a.
91.,VATAJANKOSKEN SAHKO OY,VUOHINIITYNTIE 2,KANKAANPAA,Finland,3511,n.a.,33,32,33,32,31,30,28,27,25,n.a.,65,67,73,75,77,78,49,74,70
119.,VELJET KUUSISTO OY,TEOLLISUUSTIE 11,LAITILA,Finland,1610,n.a.,11,11,11,11,10,9,8,n.a.,10,n.a.,n.a.,39,39,39,39,n.a.,n.a.,n.a.,n.a.
17.,VERSOWOOD OY,TEOLLISUUSTIE 60,VIERUMAKI,Finland,1623,357,328,310,465,20,236,226,212,151,158,718,684,668,648,750,608,677,575,597,659
122.,VSV-ENERGIA OY,VIHTORINKATU 2,LAITILA,Finland,3530,n.a.,9,10,12,10,8,8,8,4,3,n.a.,7,7,6,5,5,5,5,3,3
77.,WESTAS RAUNIO OY,MYLLYKYLANTIE 42,KOSKI TL,Finland,1610,n.a.,53,50,49,55,49,50,49,39,39,n.a.,53,53,53,2,2,2,3,3,3
124.,WIENERBERGER OY AB,KUMPULANTIE 15,HELSINKI,Finland,2332,n.a.,9,8,11,13,14,15,14,10,18,n.a.,46,58,62,63,65,69,67,72,86
150.,WIITASEUDUN ENERGIA OY,KESKITIE 10,VIITASAARI,Finland,3530,n.a.,3,3,3,3,2,2,2,2,2,n.a.,8,8,8,7,7,7,n.a.,8,8
76.,YANDEX OY,MOREENIKATU 6,MANTSALA,Finland,6311,n.a.,53,36,3,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18,18,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
146.,YLIVIESKAN TIILI OY,LENTOKENTANTIE 833,YLIVIESKA,Finland,2332,n.a.,4,4,4,4,6,6,6,5,6,n.a.,24,28,30,35,40,39,39,41,46
