,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
165.,Stadtwerke Kempen GmbH,Heinrich-Horten-Str. 50,Kempen,Germany,3513,n.a.,n.a.,69,62,55,45,43,46,46,46,n.a.,n.a.,90,80,74,70,69,66,68,71
247.,Ziegelwerk Nordhausen Dipl. Ing. Sourell GmbH,Stolberger Str. 141,Nordhausen,Germany,2332,n.a.,2,2,2,2,2,3,n.a.,n.a.,n.a.,n.a.,15,15,15,16,15,n.a.,n.a.,n.a.,n.a.
615.,Neue ZIEGEL-MANUFAKTUR Glindow GmbH,ALPENSTR. 47,WERDER,Germany,2332,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,21,21,21,20,20,n.a.,n.a.
47.,3M Deutschland GmbH,Carl-Schurz-Str. 1,Neuss,Germany,2229,n.a.,n.a.,"2,250","2,401","2,493","2,453","2,338","2,203","1,890","1,999",n.a.,n.a.,"5,987","5,081","5,128","5,200","4,807","4,730","4,630","4,707"
619.,A & L TIERFRISCHMEHL PRODUKTIONS-GMBH,IM MOORE 1,DIEPHOLZ,Germany,1090,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,27,24,20,n.a.,137,130,128,129,126,127,127,102,106
499.,A. Berentelg & Co. Klinker- u. Keramik-Werk,GRUENER WEG 8,RECKE,Germany,2332,n.a.,n.a.,n.a.,n.a.,12,11,11,9,8,8,n.a.,n.a.,n.a.,n.a.,90,103,96,74,53,n.a.
320.,A. Nattermann & Cie. GmbH,NATTERMANNALLEE 1,KOELN,Germany,2120,n.a.,n.a.,105,119,120,143,137,147,151,155,n.a.,n.a.,408,416,414,413,405,409,414,410
623.,A. Obenauf GmbH & Co. KG,ECKERTAL,BAD HARZBURG,Germany,1712,n.a.,n.a.,n.a.,n.a.,6,6,6,n.a.,n.a.,n.a.,n.a.,n.a.,36,38,38,42,47,47,48,51
41.,ABBVIE DEUTSCHLAND GMBH & CO. KG,MAINZER STR. 81,WIESBADEN,Germany,2100,n.a.,n.a.,"2,655","1,535","1,401",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,852","2,681","2,530",n.a.,n.a.,n.a.,n.a.,n.a.
661.,ABC-Keramik H&R Berentelg GmbH & Co.KG,GRUENER WEG 8,RECKE,Germany,2332,n.a.,n.a.,n.a.,n.a.,9,12,12,10,8,11,n.a.,n.a.,44,47,45,67,65,45,42,65
267.,Academy of Art University,79 NEW MONTGOMERY ST,SAN FRANCISCO,United States of America,8552,148,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"3,500",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
684.,ACG Air Cargo Germany GmbH,GEBAEUDE 1335,HAHN-FLUGHAFEN,Germany,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,66,48,68,n.a.
643.,ACR BIOKRAFTWERK CALBE INVEST GMBH & CO. KG,TRAPPENSTEIG 20,SCHOENEBECK,Germany,3511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,10,n.a.
573.,Adam Opel AG,,,Sweden,2910,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
186.,ADM Hamburg Aktiengesellschaft,NIPPOLDSTRASSE 117,HAMBURG,Germany,1041,n.a.,335,435,390,456,501,950,"1,176","1,097",840,n.a.,606,665,646,644,641,649,637,613,584
458.,ADM Mainz GmbH,NIPPOLDSTR. 117,HAMBURG,Germany,1041,n.a.,n.a.,34,34,34,32,30,29,32,35,n.a.,n.a.,136,133,128,129,127,120,119,120
432.,ADM Spyck GmbH,NIPPOLDSTR. 117,HAMBURG,Germany,1041,n.a.,n.a.,44,41,43,40,53,44,40,29,n.a.,n.a.,142,137,137,137,152,148,132,75
882.,ADM WILD EUROPE GMBH & CO. KG,RUDOLF-WILD-STR. 107 -115,EPPELHEIM,Germany,1089,n.a.,n.a.,n.a.,n.a.,n.a.,"1,000",900,n.a.,n.a.,n.a.,"2,500","2,500","2,500","2,500","2,500","1,500","1,500",n.a.,n.a.,n.a.
17.,Adolf Würth GmbH & Co KG,REINHOLD-WUERTH-STR. 12 -17,KUENZELSAU,Germany,2594,n.a.,"11,986","11,251","10,228","9,840","10,048","9,834","8,836","7,589","8,931",n.a.,"70,553","68,009","65,104","64,217","66,050","65,067","59,817","58,561","64,768"
717.,Adolf Zeller GmbH & Co. Poroton-Ziegelwerke KG,MAERKERSTR. 44,ALZENAU,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,34,41,41,40,40,n.a.,n.a.,n.a.,n.a.
148.,Aerologic GmbH,INDUSTRIESTR. 70,SCHKEUDITZ,Germany,5121,n.a.,n.a.,442,457,447,475,439,274,55,n.a.,n.a.,n.a.,280,271,283,263,234,163,91,n.a.
579.,AEROPERSONAL,,,Guatemala,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
741.,AFK-Geothermie GmbH,AM CLAIM 2,ASCHHEIM,Germany,3511,n.a.,n.a.,n.a.,n.a.,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,13,7,7,7,7,5,n.a.,n.a.
728.,AgilesAviation GmbH & Co. KG,POSSARTSTR. 22,MUENCHEN,Germany,8299,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
285.,AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH,IM EMSCHERBRUCH 11,HERTEN,Germany,3821,n.a.,n.a.,140,137,139,130,125,117,123,114,n.a.,n.a.,192,190,189,177,191,197,190,192
786.,Agrarfrost GmbH & Co KG,ALDRUP 3,WILDESHAUSEN,Germany,1031,n.a.,258,236,241,238,220,200,n.a.,n.a.,n.a.,645,645,614,602,584,562,500,n.a.,n.a.,n.a.
328.,Ahlstrom-Munksjö Dettingen GmbH,SCHWALBENSTADT 1,DETTINGEN,Germany,7210,n.a.,n.a.,101,97,100,94,94,99,66,65,n.a.,n.a.,198,196,195,200,204,192,181,190
291.,Ahlstrom-Munksjö Paper GmbH,WALDHAEUSER STR. 41,AALEN,Germany,1729,n.a.,n.a.,130,131,125,131,144,128,n.a.,n.a.,n.a.,n.a.,230,232,233,242,277,283,n.a.,n.a.
612.,Air Berlin PLC & Co. Luftverkehrs KG,SAATWINKLER DAMM 42 -43,BERLIN,Germany,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
77.,"Air China Cargo Co., Ltd","NO. 29, TIANZHU ROAD, TIANZHU AIRPORT ECONOMIC DEVELOPMENT ZONE",BEIJING,China,5121,n.a.,"1,230","1,289","1,243",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"4,000","4,000","4,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13.,Air China Limited,"TIANZHU AIRPORT ECONOMIC DEVELOPMENT ZONE, ZONE A, BLUE SKY MANSION, 9TH FLOOR",BEIJING,China,5110,n.a.,"15,718","15,573","14,264","11,666","12,144","12,050","9,519","5,501","5,610",n.a.,"23,258","27,104","26,206","64,854","25,269","24,474","24,459","23,807","20,494"
628.,AIR HAMBURG Luftverkehrsgesellschaft mbH,LEVERKUSENSTR. 54,HAMBURG,Germany,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,79,91,n.a.,n.a.,n.a.,n.a.,n.a.
60.,AIR LIQUIDE Deutschland GmbH,LUISE-RAINER-STR. 5,DUESSELDORF,Germany,2110,n.a.,"1,733","1,870","1,766","1,710","1,849","1,768","1,672","1,575","1,832",n.a.,"4,753","4,736","4,658","4,787","4,580","4,462","4,325","4,394","4,389"
208.,Air SERBIA a.d. Beograd,JURIJA GAGARINA 12,BEOGRAD - NOVI BEOGRAD,Serbia,5110,n.a.,286,272,247,133,119,115,109,124,149,n.a.,"1,393","1,393","1,298","1,234","1,243","1,255","1,291","1,508","1,795"
716.,AIR SERVICE GMBH,PROPSTEIWEG 8,ABTSGMUEND,Germany,5100,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,3,n.a.,n.a.,n.a.,n.a.,n.a.
106.,AirBridgeCargo Airlines LLC,"SH. MEZHDUNARODNOE D. 28B, STR. 3",MOSCOW,Russian Federation,5121,n.a.,n.a.,740,542,604,627,540,496,266,274,n.a.,n.a.,354,343,332,323,312,301,288,283
138.,Airbus Defence and Space GmbH,WILLY-MESSERSCHMITT-STR. 1,TAUFKIRCHEN,Germany,2511,n.a.,514,"2,893","2,883","3,295","3,140","3,222","3,318","2,896","2,873",n.a.,"2,304","9,102","10,248","10,551","10,000","10,145","10,095","9,682","11,450"
45.,AIRBUS HELICOPTERS Deutschland GmbH,INDUSTRIESTR. 4,DONAUWOERTH,Germany,3030,n.a.,"2,396","2,185","1,978","1,889","1,801","1,688","1,732","1,800","1,725",n.a.,"5,668","5,558","5,752","5,754","5,423","5,027","4,995","4,986","4,820"
18.,Airbus Operations GmbH,KREETSLAG 10,HAMBURG,Germany,3030,n.a.,n.a.,"10,274","9,317","8,487","7,727","6,579","6,419","6,381","6,911",n.a.,n.a.,"16,979","17,430","17,619","16,831","16,427","15,881","16,315","20,542"
703.,AIRTRANS FLUGZEUGVERMIETUNGSGESELLSCHAFT MBH,BERNERSTR. 6,KUENZELSAU,Germany,7735,n.a.,n.a.,n.a.,n.a.,2,2,2,2,2,2,n.a.,n.a.,3,3,3,4,5,n.a.,n.a.,n.a.
651.,AKA KLINKER GmbH,UNTER DEN EICHEN 13,PEINE,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,48,48,48,46,51,49,49,50
713.,Aktien-Gesellschaft der Dillinger Hüttenwerke,WERKSTR. 1,DILLINGEN,Germany,2410,n.a.,n.a.,n.a.,"1,961","1,819","2,371","2,573","2,068","2,156","3,065",n.a.,n.a.,"5,263","5,095","5,351","5,460","5,462","5,324","5,337","5,312"
362.,Akzo Nobel Funktional Chemicals GmbH & Co. KG,LIEBIGSTR. 7,GREIZ,Germany,4675,n.a.,n.a.,80,80,78,90,82,n.a.,n.a.,n.a.,n.a.,n.a.,280,274,285,300,300,286,300,n.a.
580.,Al Hokair Aviation Ltd.,APPLEBY,HAMILTON,Bermuda,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,AL Tierfrischmehl Produktions GmbH,Im Moore 1,Diepholz,Germany,1090,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,27,24,20,n.a.,137,130,128,129,126,127,127,102,106
207.,Albemarle Germany GmbH,INDUSTRIEPARK HOECHST GEBAEUDE G 879,FRANKFURT,Germany,2000,n.a.,n.a.,280,221,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,714,695,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
231.,Aleris Casthouse Germany GmbH,CARL-SPAETER-STR. 10,KOBLENZ,Germany,2450,n.a.,231,102,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,328,330,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
111.,Aleris Rolled Products Germany GmbH,CARL-SPAETER-STR. 10,KOBLENZ,Germany,4690,n.a.,724,849,739,737,684,n.a.,0,0,0,n.a.,"1,130","1,298","1,437","1,527","1,348",n.a.,n.a.,n.a.,n.a.
621.,Allerziegel GmbH & Co. KG,OSTERKRUG 21,VERDEN,Germany,4673,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,16,n.a.
257.,ALLESSA GMBH,ALT-FECHENHEIM 34,FRANKFURT,Germany,7219,n.a.,178,184,187,161,154,149,146,160,196,n.a.,255,260,318,806,742,724,816,930,968
322.,AllessaProduktion GmbH,ALT-FECHENHEIM 34,FRANKFURT,Germany,2059,n.a.,108,110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,263,272,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
234.,Allgäuer Überlandwerk GmbH,ILLERSTR. 18,KEMPTEN,Germany,3510,n.a.,n.a.,214,230,222,219,201,198,188,183,n.a.,n.a.,156,268,260,261,266,266,259,254
247.,Almatis GmbH,GIULINISTR. 2,LUDWIGSHAFEN,Germany,2059,n.a.,n.a.,196,195,189,188,202,204,n.a.,199,n.a.,n.a.,209,206,211,212,203,202,n.a.,203
127.,ALNO Aktiengesellschaft,HEILIGENBERGER STR. 47,PFULLENDORF,Germany,3102,n.a.,n.a.,562,623,404,456,459,473,500,525,n.a.,n.a.,"2,099","2,289","1,875","1,926","1,845","1,787","1,900","1,981"
850.,Alois Korzilius INTERBAU GmbH & Co. KG,HAUPTSTR. 73 -79,RANSBACH-BAUMBACH,Germany,2331,n.a.,29,29,30,29,28,27,n.a.,n.a.,n.a.,156,157,157,160,155,155,154,n.a.,n.a.,n.a.
674.,Alph. Meyer KG,REESER STR. 209,EMMERICH AM RHEIN,Germany,2332,n.a.,n.a.,n.a.,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11,11,11,11,n.a.,n.a.,n.a.,n.a.
673.,Alpiq Spreetal GmbH,GEORG-GLOCK-STR. 4,DUESSELDORF,Germany,3511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10,10,15,n.a.,17,n.a.,n.a.
943.,ALPLA AIR CHARTER Gesellschaft m.b.H.,MOCKENSTRASSE 34,HARD (VBG.),Austria,5100,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,2,n.a.,n.a.
550.,Alten Ziegelei  GmbH & Co. KG,ZIEGELEIWEG 1,DASSEL,Germany,2332,n.a.,n.a.,n.a.,2,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,14,16,16,14,n.a.,n.a.,n.a.
164.,ALUMINIUM NORF GmbH,KOBLENZER STR. 120,NEUSS,Germany,2442,n.a.,401,417,409,403,389,375,359,329,379,n.a.,"2,272","2,272","2,234","2,226","2,199","2,165","2,091","2,068","2,129"
272.,Aluminium Oxid Stade GmbH,JOHANN-RATHJE-KOESER-STR.,STADE,Germany,2442,n.a.,161,181,178,184,181,181,183,146,168,n.a.,471,491,492,489,487,479,472,476,478
640.,Amand Ziegelwerke GmbH & Co. KG,MAXENER STR. 55,DRESDEN,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
363.,Amberger Kaolinwerke Eduard Kick GmbH & Co. KG,GEORG-SCHIFFER-STR. 70,HIRSCHAU,Germany,0812,n.a.,n.a.,79,80,82,82,89,92,87,94,n.a.,n.a.,479,495,527,570,577,575,588,604
454.,AMK - Abfallentsorgungsges. des Märkischen Kreises mbH,GIESESTR. 10,ISERLOHN,Germany,3810,n.a.,n.a.,35,35,36,n.a.,n.a.,n.a.,41,36,n.a.,n.a.,100,100,101,102,102,103,103,102
405.,ANKER Gebr. Schoeller GmbH + Co. KG,ZOLLHAUSSTR. 112,DUEREN,Germany,1393,n.a.,n.a.,56,53,50,49,55,52,50,64,n.a.,n.a.,269,259,257,270,270,272,n.a.,355
940.,Anton Hanrieder oHG Ziegelwerk,,,Germany,2332,n.a.,n.a.,n.a.,1,1,1,1,1,1,n.a.,n.a.,n.a.,9,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
558.,Arcas Aviation GmbH & Co. KG,FERDINANDSTR. 61,HAMBURG,Germany,5110,n.a.,n.a.,1,1,1,1,1,1,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
46.,ArcelorMittal Bremen GmbH,CARL-BENZ-STR. 30,BREMEN,Germany,2410,n.a.,n.a.,"2,261","2,373","2,336","2,665","2,591","2,005","1,434","1,975",n.a.,n.a.,"2,698","2,690","2,669","2,785","2,608","2,571","3,138","3,245"
81.,ArcelorMittal Eisenhüttenstadt GmbH,WERKSTR. 1,EISENHUETTENSTADT,Germany,2451,n.a.,"1,129","1,215","1,156","1,193","1,196","1,328","1,165",878,"1,283",n.a.,"2,562","2,546","2,509","2,423","2,351","2,378","2,451","2,720","2,822"
145.,ArcelorMittal Hamburg GmbH,DRADENAUSTR. 33,HAMBURG,Germany,2451,n.a.,n.a.,454,500,516,520,573,504,333,581,n.a.,n.a.,560,568,575,576,576,583,582,595
203.,ArcelorMittal Hochfeld GmbH,VOHWINKELSTR. 107,DUISBURG,Germany,2511,n.a.,n.a.,285,241,275,381,446,389,188,449,n.a.,n.a.,167,175,186,162,176,211,210,210
600.,Archer Daniels Midland Company,"4666, FARIES PARKWAY",DECATUR,United States of America,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
403.,Arctic Paper Mochenwangen GmbH,FABRIKSTR. 62,WOLPERTSWENDE,Germany,1712,n.a.,n.a.,57,58,61,72,72,70,72,73,n.a.,n.a.,181,187,200,200,199,199,193,186
147.,Ardagh Glass GmbH,GROSSE DRAKENBURGER STR. 132,NIENBURG,Germany,2319,n.a.,n.a.,442,441,444,441,433,441,472,539,n.a.,n.a.,"2,098","2,078","2,060","2,054","2,013","1,978","2,133","2,378"
634.,ARGELITH Bodenkeramik H. Bitter GmbH,SCHLEDEHAUSER STR. 133,BAD ESSEN,Germany,2331,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,142,134,127,127,126,130,136,139
57.,ARLA FOODS DEUTSCHLAND GMBH,WAHLERSTR. 2,DUESSELDORF,Germany,1050,n.a.,n.a.,"1,810","2,062","1,754",541,397,357,295,371,n.a.,n.a.,"1,906","1,845","1,276","1,173",318,290,260,251
212.,ARLANXEO Deutschland GmbH,ALTE HEERSTR. 2,DORMAGEN,Germany,2000,n.a.,282,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,525,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
842.,Arloffer Thonwerke GmbH,KIRCHHEIMER STR. 9,BAD MUENSTEREIFEL,Germany,2320,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,17,17,30,30,30,30,n.a.,n.a.,n.a.,n.a.
400.,Armstrong Building Products GmbH,ROBERT-BOSCH-STR. 10,MUENSTER,Germany,2223,n.a.,60,63,64,70,71,68,66,58,74,n.a.,212,220,219,221,223,223,223,232,233
564.,Armstrong DLW GmbH,,,Sweden,4673,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
597.,ARTOC AIR,,CAIRO,Egypt,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32.,Asiana Airlines,"443-83, OJEONG-RO",SEOUL,Republic of Korea,5110,n.a.,"4,527","4,341","4,373","3,932","4,168","3,764","3,542","2,437","2,536",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
76.,ASKLEPIOS KLINIKEN HAMBURG GMBH,RUEBENKAMP 226,HAMBURG,Germany,8610,n.a.,n.a.,"1,215","1,190","1,145","1,185","1,131",988,"1,051",969,n.a.,n.a.,"11,332","11,158","11,002","13,378","12,779","10,454","11,140","10,861"
945.,ASL Airlines (Switzerland) AG,WUHRMATTSTRASSE 21,BOTTMINGEN,Switzerland,5121,n.a.,n.a.,n.a.,12,n.a.,12,n.a.,n.a.,n.a.,n.a.,4,4,4,4,4,150,150,150,150,70
624.,ASW Air-Service Werkflugdienst GmbH & CO.KG,FLUGHAFENSTR. 1 -3,HAMBURG,Germany,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,2,2,2,n.a.,n.a.,n.a.,n.a.
947.,ATA Concept GmbH,ROTHUSSTRASSE 9,HUNENBERG,Switzerland,5223,n.a.,5,5,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
479.,ATLANTIC GmbH,GARTENSTR. 7 -17,BONN,Germany,2391,n.a.,23,26,25,23,23,28,23,15,25,n.a.,208,216,205,193,191,189,180,180,193
604.,"Atlas Air, Inc.",2000 WESTCHESTER AVE,PURCHASE,United States of America,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4.,AUDI Aktiengesellschaft,P.O. BOX: 10 04 57,INGOLSTADT,Germany,2910,n.a.,"60,739","60,471","55,526","51,439","49,853","45,876","36,938","31,170","35,445",n.a.,"88,453","84,435","79,483","73,751","68,804","62,521","59,221","57,723","57,533"
417.,Auer Lighting GmbH,HILDESHEIMER STR. 35,BAD GANDERSHEIM,Germany,2740,n.a.,n.a.,48,48,45,47,52,47,40,40,n.a.,n.a.,405,416,417,419,425,407,463,486
664.,August Lücking GmbH & Co. KG,ELSENER STR. 20,PADERBORN,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,159,160,158,156,153,149,139,128
747.,August Storck KG,WALDSTR. 27,BERLIN,Germany,1082,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"5,800","5,800","3,900","3,900","3,900","3,400",n.a.,n.a.,n.a.
19.,Aurubis AG,HOVESTRASSE 50,HAMBURG,Germany,0729,n.a.,"9,532","11,052","11,389","12,397","13,845","13,455","9,912","6,717","8,443",n.a.,"6,454","6,321","6,503","6,563","6,372","6,279","4,831","4,726","4,106"
155.,AUTOMOTIVE GROUP ISE INNOMOTIVE SYSTEMS EUROPE GMBH,OTHESTR. 19,BERGNEUSTADT,Germany,2932,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
441.,Avacon Natur GmbH,JACOBISTR. 3,SARSTEDT,Germany,3530,n.a.,41,41,46,53,59,53,50,54,n.a.,n.a.,63,60,64,64,64,65,62,60,n.a.
284.,Avangard Malz AG,HAFENSTR. 14,GELSENKIRCHEN,Germany,1105,n.a.,145,148,149,149,128,84,97,123,136,n.a.,116,110,106,102,96,95,95,101,86
95.,AVIAKOMPANIYA URALSKIE AVIALINII,"1 G, UTRENNIY AVENUE",YEKATERINBURG,Russian Federation,5110,n.a.,896,553,568,675,609,439,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
920.,Aviretta GmbH,FABRIKSTR. 4,ETTRINGEN,Germany,1712,n.a.,6,n.a.,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,35,35,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.
775.,AVISTA OIL Refining & Trading Deutschland GmbH,BAHNHOFSTR. 82,UETZE,Germany,7010,n.a.,n.a.,115,185,147,144,n.a.,n.a.,n.a.,n.a.,217,217,217,217,205,205,205,n.a.,n.a.,n.a.
91.,AXALTA COATING SYSTEMS GERMANY GMBH & CO. KG,CHRISTBUSCH 25,WUPPERTAL,Germany,2030,n.a.,n.a.,943,896,n.a.,888,862,844,714,954,n.a.,n.a.,"2,000","2,074",n.a.,"2,177","2,177","2,267","2,421","2,630"
25.,B. Braun Melsungen Aktiengesellschaft,CARL-BRAUN-STR. 1 -3,MELSUNGEN,Germany,2120,n.a.,"6,771","6,541","5,675","5,381","5,273","4,814","4,655","4,220","3,944",n.a.,"56,849","54,770","52,196","48,267","45,381","42,739","40,316","38,512","37,601"
259.,B. E. S. Brandenburger Elektrostahlwerke GmbH,WOLTERSDORFER STR. 40,BRANDENBURG,Germany,2410,n.a.,n.a.,172,179,182,191,171,159,148,176,n.a.,n.a.,729,735,739,738,724,719,725,742
437.,BA Glass Germany GmbH,DR.-KURT-BECKER-STR. 1,GARDELEGEN,Germany,2319,n.a.,n.a.,40,37,35,32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,140,138,137,153,n.a.,n.a.,n.a.,n.a.
42.,badenova AG & Co. KG,Tullastr. 61,Freiburg,Germany,3513,n.a.,n.a.,885,847,836,719,706,693,782,818,n.a.,n.a.,"1,280","1,308","1,333","1,269","1,239","1,178","1,130","1,079"
99.,Badische Stahlwerke GmbH,GRAUDENZER STR. 45,KEHL,Germany,2410,n.a.,n.a.,830,837,"1,053","1,000","1,075",808,687,"1,131",n.a.,n.a.,861,881,870,843,823,821,827,817
265.,Baerlocher GmbH,FREISINGER STR. 1,UNTERSCHLEISSHEIM,Germany,2014,n.a.,n.a.,163,153,159,170,157,153,125,157,n.a.,n.a.,365,367,368,363,353,354,358,379
48.,Bahag Baus Handelsgesellschaft AG Zug/Schweiz Zweigniederlassung Mannheim,GUTENBERGSTR. 21,MANNHEIM,Germany,4719,n.a.,n.a.,"2,177","1,990","1,693","1,683","1,640","1,571","1,499",n.a.,n.a.,n.a.,406,391,336,358,367,296,n.a.,n.a.
893.,Baiersbronn Frischfaser Karton GmbH,SAEGMUEHLEWEG 18,BAIERSBRONN,Germany,1721,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,134,134,134,134,134,134,134,n.a.,n.a.,n.a.
